serie_id,nome_serie,serie_original,nome_series_en,data_lancamento,poster,nota_omdb,nota_imdb_pt,nota_imdb_en,nota_adorocinema,nota_filmow,nota_rottentomatoes,nota_trakt,NaN_count,nota_score,streaming,studio,serie_type,data,ranking
240932,Wild Cards,Wild Cards,Wild Cards,,https://image.tmdb.org/t/p/w500/lIhkV9LNwViVD2bylPTFQvDD21e.jpg,7,7,,,,"7,9","7,07738",3,"7,07738",N/A,Blink49 Studios,Cinema,2025-02-06,1
62705,Married at First Sight,Married at First Sight,Married at First Sight,,https://image.tmdb.org/t/p/w500/2F0ADv2beVB4tRG0qx7YlWMvnDN.jpg,8,"6,2",,,,,"6,11905",4,"7,059525",N/A,N/A,Cinema,2025-02-06,1
208397,Espíritos na Escola,School Spirits,School Spirits,,https://image.tmdb.org/t/p/w500/y3mmy2IJvLu7InRlXqGtraIB19y.jpg,"7,7","7,6",,,,,"6,41176",5,"7,05588",Paramount Plus,Awesomeness Films,Streaming,2025-02-05,1
74497,Polònia,Polònia,Polònia,,https://image.tmdb.org/t/p/w500/zhPDIF94lCzAXrnOqd9aWG7yObA.jpg,"7,8","8,1",,,,,"6,27273",4,"7,036365",N/A,Minoria Absoluta,Cinema,2025-02-06,1
245914,Bahar,Bahar,Bahar,,https://image.tmdb.org/t/p/w500/Adjn7rsb1picDMUcYNjEDobhvAk.jpg,"7,2","7,4",,,,,"6,85714",4,"7,02857",N/A,MF Yapım,Cinema,2025-02-06,1
158596,Beleza Fatal,Beleza Fatal,Scars of Beauty,,https://image.tmdb.org/t/p/w500/gnqG5Ou3esy5OkhEK5w42vdaq9I.jpg,"7,5",,,7,"6,8",,7,4,7,Max,Conspiração Filmes,Streaming,2025-02-06,1
217211,Irracional: A Ciência do Crime,The Irrational,The Irrational,,https://image.tmdb.org/t/p/w500/fWeFeaUvM3WZPxRoIyggfoiosFP.jpg,"7,1",,7,,,"7,3","6,87143",4,7,N/A,Universal Television,Cinema,2025-02-06,1
122843,Honest Trailers,Honest Trailers,Honest Trailers,,https://image.tmdb.org/t/p/w500/5wZDu7JVXqmzJLthh1ngIfLmKIS.jpg,"6,442","8,5",,,,,"7,51579",4,"6,978895",N/A,N/A,Cinema,2025-02-06,1
30810,Pointless,Pointless,Pointless,,https://image.tmdb.org/t/p/w500/vhKxgbh4QvnBFU1jRYSBiizWpDg.jpg,"6,6","7,2",,,,,"7,35556",4,"6,977779999999999",N/A,Remarkable Entertainment,Cinema,2025-02-06,1
1054,The Young and the Restless,The Young and the Restless,The Young and the Restless,,https://image.tmdb.org/t/p/w500/4rdJWBQQV1Iqve8kYq8wdfcvUKo.jpg,"6,9","5,2",,,,,"7,03356",4,"6,96678",N/A,CBS Studios,Cinema,2025-02-06,1
38657,Ridiculousness,Ridiculousness,Ridiculousness,,https://image.tmdb.org/t/p/w500/4rJdcHQrE4stnZTEAP0m4gnlVQi.jpg,"6,921","6,3",,,,,7,4,"6,9605",Paramount Plus,New Remote Productions,Streaming,2025-02-06,1
94372,FBI: Os Mais Procurados,FBI: Most Wanted,FBI: Most Wanted,,https://image.tmdb.org/t/p/w500/vRoyQUWQIba6CVu2rhTGAHKgZRZ.jpg,"7,7",,"6,9",,,5,"7,28018",4,"6,9",Claro tv+,Wolf Entertainment,Streaming,2025-02-06,1
46707,WWE Main Event,WWE Main Event,WWE Main Event,,https://image.tmdb.org/t/p/w500/yVZdqmVMI09F7GzFvDJCc36oBkT.jpg,"7,808",6,,,,,"5,96429",4,"6,886145",N/A,World Wrestling Entertainment (WWE),Cinema,2025-02-06,1
280829,Pokoli rokonok,Pokoli rokonok,Pokoli rokonok,,https://image.tmdb.org/t/p/w500/5BPh3azAd1mZHUrC1oRHenFpGop.jpg,"8,2","3,7",,,,,"5,5",4,"6,85",N/A,Scripted Productions (HU),Cinema,2025-02-06,1
31991,WWE NXT,WWE NXT,WWE NXT,,https://image.tmdb.org/t/p/w500/9nLBX5Bf7PW4FAaWJLXpFFdeTlV.jpg,"6,7","7,5",,,,,"6,91339",4,"6,8066949999999995",Netflix,World Wrestling Entertainment (WWE),Streaming,2025-02-06,1
139798,"Solteiros, Ilhados e Desesperados",솔로지옥,Single's Inferno,,https://image.tmdb.org/t/p/w500/lN2m8F2D6G0GdkHOMhitZpwNapE.jpg,"7,9",,,"6,8",,"6,1",,5,"6,8",Netflix,Shijak Company,Streaming,2025-02-05,1
60603,A Maldição de Oak Island,The Curse of Oak Island,The Curse of Oak Island,,https://image.tmdb.org/t/p/w500/xFOxYucdxa7Tw2QqQN6939pdcq5.jpg,"7,4",,"6,8",,,"6,5","7,42502",4,"6,8",N/A,Prometheus Entertainment,Cinema,2025-02-06,1
121658,FBI: Internacional,FBI: International,FBI: International,,https://image.tmdb.org/t/p/w500/1JB0ZI31zCk9gx6dVey5hKgxdOy.jpg,"7,7","6,6",,,,"4,3","6,79557",4,"6,79557",Claro tv+,Wolf Entertainment,Streaming,2025-02-05,1
